Date,Time,Team 1,Team 2,Competition
"Mar 18, 2018",3:15 PM UTC,Barcelona,Athletic,Spanish Primera División
"Mar 31, 2018",6:45 PM UTC,Sevilla,Barcelona,Spanish Primera División
"Apr 8, 2018",TBD,Barcelona,Leganes,Spanish Primera División
"Apr 15, 2018",TBD,Barcelona,Valencia,Spanish Primera División
"Apr 18, 2018",TBD,Celta Vigo,Barcelona,Spanish Primera División
"Apr 21, 2018",7:30 PM UTC,Barcelona,Sevilla,Spanish Copa del Rey
"Apr 29, 2018",TBD,Deportivo,Barcelona,Spanish Primera División
"May 6, 2018",TBD,Barcelona,Real Madrid,Spanish Primera División
"May 9, 2018",TBD,Barcelona,Villarreal,Spanish Primera División
"May 13, 2018",TBD,Levante,Barcelona,Spanish Primera División
"May 20, 2018",TBD,Barcelona,R Sociedad,Spanish Primera División
